Delta
-1.8371570672347053
-1.8340576902516152
-1.8309695246801352
-1.8278925140222948
-1.824826605652118
-1.8217717509551832
-1.818727905430058
-1.8156950287542926
-1.8126730848173174
-1.8096620417241773
-1.806661871771032
-1.803672551396078
-1.8006940611081805
-1.7977263853945455
-1.7947695126105143
-1.7918234348529651
-1.7888881478192773
-1.7859636506538874
-1.7830499457837965
-1.7801470387446292
-1.7772549379993425
-1.774373654749995
-1.7715032027447142
-1.7686435980809025
-1.7657948590054282
-1.7629570057133537
-1.7601300601462295
-1.75731404579027
-1.7545089874759823
-1.7517149111795356
-1.7489318438269712
-1.7461598131014453
-1.7433988472545978
-1.7406489749222056
-1.7379102249449043
-1.7351826261941137
-1.7324662074036965
-1.7297609970077974
-1.727067022985101
-1.7243843127094085
-1.7217128928072818
-1.7190527890227039
-1.7164040260885942
-1.7137666276058718
-1.711140615929609
-1.7085260120624552
-1.705922835555756
-1.7033311044174864
-1.7007508350279263
-1.6981820420622804
-1.6956247384205323
-1.6930789351644517
-1.6905446414611875
-1.688021864534193
-1.6855106096201982
-1.6830108799330967
-1.6805226766338592
-1.6780459988067875
-1.675580843441541
-1.6731272054209745
-1.6706850775144135
-1.6682544503762071
-1.665835312549658
-1.6634276504754004
-1.6610314485046185
-1.6586466889167986
-1.6562733519413981
-1.6539114157836814
-1.6515608566542157
-1.6492216488017182
-1.6468937645495907
-1.644577174335013
-1.6422718467510435
-1.639977748591767
-1.6376948448989304
-1.6354230990116536
-1.6331624726176932
-1.6309129258064647
-1.628674417123849
-1.626446903628358
-1.6242303409482985
-1.6220246833402505
-1.6198298837482632
-1.6176458938637617
-1.6154726641860404
-1.6133101440830793
-1.611158281852442
-1.609017024782838
-1.6068863192147835
-1.604766110601817
-1.6026563435709609
-1.6005569619830387
-1.5984679089923493
-1.5963891271056876
-1.5943205582407347
-1.592262143783455
-1.5902138246448234
-1.5881755413163947
-1.586147233924805
-1.5841288422852717
-1.5821203059538147
-1.5801215642782007
-1.5781325564476207
-1.5761532215410712
-1.5741834985742802
-1.5722233265451455
-1.570272644477853
-1.568331391465378
-1.566399506710537
-1.5644769295654912
-1.5625635995696614
-1.5606594564861336
-1.5587644403364513
-1.5568784914338312
-1.555001550414828
-1.5531335582693888
-1.5512744563693306
-1.5494241864953089
-1.5475826908621375
-1.54574991214263
-1.543925793489909
-1.5421102785581833
-1.5403033115220375
-1.5385048370942447
-1.5367148005421738
-1.5349331477027046
-1.533159824995846
-1.5313947794368967
-1.5296379586473112
-1.527889310864259
-1.5261487849489304
-1.5244163303935325
-1.5226918973272259
-1.5209754365207107
-1.519266899389809
-1.5175662379978594
-1.5158734050572078
