rd(i),uf(i),Rnorm(i),Product
0.001,0.0,0.029742054991236947,0.0
0.004,0.0,0.11896821996494779,0.0
0.007,0.04915517590438135,0.20507146916457875,0.010080324139754784
0.01,0.06761423972274992,0.28861690163496334,0.019514612375183746
0.013,0.08395138730872814,0.369664001486084,0.031033805762852494
0.016,0.09827998716452174,0.44827225282792327,0.044056191254139544
0.019,0.11071544322938369,0.5245308818254548,0.058073669068804706
0.022,0.12137128131320515,0.5984398884786786,0.07263341605358882
0.025,0.1303575282957334,0.6700884989525685,0.08735108046285497
0.028,0.137779995655015,0.7395659394120979,0.10189739191879595
0.031,0.14373997914269698,0.8068722098572672,0.1159797946157054
0.034,0.1483341700106704,0.8721262785080409,0.12936612766698502
0.037,0.151654680969041,0.9353281453644194,0.14184689148660584
0.04,0.15378913679121314,0.9965372945363852,0.1532566103070016
0.043,0.15482080185079777,1.0558429521889114,0.1634664524864008
0.046,0.15482872843721862,1.113245118321999,0.17236232610873609
0.049,0.15388791605298857,1.1688330191006209,0.17986927752331752
0.052,0.15206947557012843,1.2226363965797684,0.18592567564083695
0.055,0.1494407943377755,1.274684992814433,0.19048993785663051
0.058,0.14606569971486322,1.3250680339695886,0.1935469895515661
0.061,0.14200461938933812,1.3737557779902434,0.1950796663874086
0.064,0.13731473742940573,1.4208671930963628,0.19510600554208377
0.067,0.1320501454042622,1.4664320213429378,0.19364256164380106
0.07,0.12626198817902914,1.5104502627299683,0.19071245321782274
0.073,0.11999860417304883,1.5529814013674372,0.18635560047079777
0.076,0.11330565999902573,1.5940551793103355,0.18061547416662285
0.079,0.10622627949016003,1.6337310806686456,0.17354517438686873
0.082,0.09880116718501428,1.6720388474973586,0.16519938971142512
0.085,0.09106872638327665,1.7090082218514662,0.15563720214256133
0.088,0.08306517191526362,1.7446689457859592,0.14492122591693246
0.091,0.07482463778775124,1.7790507613558293,0.13311682882447298
0.094,0.06637927988124272,1.8122131526710583,0.12029340406562142
0.097,0.05775937388100804,1.844156119731647,0.10651730281452923
0.1,0.0489934086275836,1.874939146647577,0.09185965976355763
0.103,0.04010817507292877,1.904562233418849,0.07638851549525143
0.106,0.031128851026865297,1.9330848641554452,0.060174710758582994
0.109,0.02207908187534822,1.9605367809123573,0.043286852105395575
0.112,0.012981057447954867,1.9869179836895843,0.025792296490649146
0.115,0.0038555852070594728,2.0122879565971092,0.007758547677799749
0.118,-0.005277840074277007,2.0366466996349324,-0.010749095568477253
0.121,-0.014400969984442432,2.060023954858045,-0.029666343141143095
0.124,-0.023496739340136522,2.0824792063764286,-0.04893147109348131
0.127,-0.03254920609871445,2.103982712135093,-0.06848296692541733
0.13,-0.04154349417281847,2.12459395624402,-0.08826305664082877
0.133,-0.05046573901010803,2.1443426807582013,-0.10821583807537878
0.136,-0.05930303580680225,2.163228885677637,-0.12828604006564984
0.139,-0.06804339022952026,2.181282313057318,-0.14842184362810965
0.142,-0.0766756715255211,2.198532704952235,-0.16857397152303297
0.145,-0.08518956790688902,2.2150098034173804,-0.1886957280626498
0.148,-0.0935755440994688,2.2307136084527537,-0.20874023964105584
0.151,-0.10182480095242798,2.2456441200583543,-0.2286622655349322
0.154,-0.10992923700919588,2.2598905643991567,-0.24842804546868033
0.157,-0.11788141194521258,2.27342319942017,-0.26799433669665224
0.16,-0.12567451178240696,2.286242025121393,-0.28732235032355247
0.163,-0.1333023157946194,2.298406525612809,-0.3063829125016526
0.166,-0.14075916502229407,2.3099464429494088,-0.325146132555777
0.169,-0.14803993231869067,2.3208320350762017,-0.34357581739573
0.172,-0.15513999385361477,2.331093044048178,-0.36164576052583847
0.175,-0.1620552020042425,2.34075921192033,-0.3793322069310406
0.178,-0.1687818595660247,2.3498602807476487,-0.396613787904929
0.181,-0.175316695219909,2.3583665084751426,-0.4134610223831775
0.184,-0.1816568401952126,2.3663373792127937,-0.4298613711436167
0.187,-0.18779980607043043,2.373772892960603,-0.44579408895324585
0.19,-0.1937434636570713,2.3807027917735617,-0.4612456048162692
0.193,-0.19948602291428752,2.387097333596677,-0.47619255338850136
0.196,-0.20502601384460803,2.393016002539934,-0.49063053206712104
0.199,-0.21036226832350605,2.39845879860333,-0.5045452333546676
0.202,-0.21549390281783395,2.4034257217868666,-0.5179235889206215
0.205,-0.2204203019503494,2.4079465141455345,-0.53076029772825
0.208,-0.22514110286963984,2.412021175679334,-0.5430451076373706
0.211,-0.22965618038673222,2.415649706388265,-0.5547688847214601
0.214,-0.23396563284156105,2.4188915903823096,-0.5659375017189271
0.217,-0.23806976866425666,2.421717085606477,-0.5765376263406119
0.22,-0.24196909359792,2.424126192060767,-0.5865636174599211
0.223,-0.24566429855116934,2.4261783938551624,-0.5960254132864311
0.226,-0.24915624805028383,2.427873690989663,-0.6049198995869787
0.229,-0.2524459692622316,2.4291823414092777,-0.6132372906917624
0.232,-0.2555346415612634,2.4301638292239884,-0.6209910430358991
0.235,-0.25842358661307374,2.430788412378804,-0.62817305982443
0.238,-0.26111425895179136,2.431085832928717,-0.6347911757133804
0.241,-0.2636082370262541,2.4310560908737258,-0.6408464102271598
0.244,-0.2659072146931633,2.430728928268822,-0.6463483589900604
0.247,-0.2680129931357913,2.4300746030590146,-0.6512915679091165
0.25,-0.2699274731879442,2.4291525993542864,-0.6556950231316291
0.253,-0.2716526480438608,2.427933175099646,-0.6595544762893575
0.256,-0.27319059633565557,2.426446072350084,-0.6628822494816287
0.259,-0.27454347556079844,2.42466154905061,-0.6656750087349838
0.262,-0.27571351584296555,2.4226688313661966,-0.6679625412191427
0.265,-0.27670301401039166,2.420378693131872,-0.6697260794361217
0.268,-0.27751432797661807,2.4178506184576167,-0.6709881895291159
0.271,-0.2781498714092499,2.4151143493984226,-0.6717637457238055
0.274,-0.27861210867302644,2.412110401844308,-0.6720431654099838
0.277,-0.2789035500341612,2.4089280019602453,-0.6718585715234112
0.28,-0.27902674711352987,2.4055076656362533,-0.6712009790991444
0.283,-0.2789842885768779,2.4018493928723306,-0.6700782441392933
0.286,-0.2787787960507807,2.3980126677784614,-0.6685150844378003
0.289,-0.27841292025362585,2.393997490354644,-0.666519832369488
0.292,-0.277889337331397,2.3897741185458887,-0.6640927461744404
0.295,-0.27721074538852264,2.3853722944071856,-0.6612508317617464
0.298,-0.276379861204516,2.380792017938535,-0.6580029674746719
0.301,-0.2753994171275697,2.3760332891399374,-0.654358182904841
0.304,-0.2742721581366883,2.371096108011392,-0.6503256466937867
0.307,-0.2730008390643393,2.3660102166078905,-0.6459227743687533
0.31,-0.27158822197198035,2.3607756149294326,-0.6411588517334932
0.313,-0.2700370736711829,2.3553923029760186,-0.6360432448432723
0.316,-0.2683501633834139,2.3498602807476487,-0.6305853902668264
0.319,-0.26653026053186424,2.3441795482443224,-0.6247947857270271
0.322,-0.26458013265902464,2.3383798475210313,-0.6186888502643043
0.325,-0.2625025434640028,2.332431436522784,-0.6122691845426286
0.328,-0.26030025095386106,2.3263640573045716,-0.6055531479264225
0.331,-0.2579760057035193,2.3201777098663943,-0.5985501781136713
0.334,-0.25553254921902524,2.313872394208252,-0.591269711459564
0.337,-0.25297261239923624,2.307448110330145,-0.5837211764458978
0.34,-0.25029891409118976,2.3009048582320726,-0.5759139874426307
