rd(i),uf(i),Rnorm(i),Product
0.001,0.0,0.052691842333514906,0.0
0.004,0.0,0.21076736933405962,0.0
0.007,0.052381637443745716,0.35893682997590354,0.01880169889300518
0.01,0.0707145116099201,0.4992025142677202,0.035300861990886
0.013,0.08682655481246061,0.6318278814211772,0.054859438178256704
0.016,0.10086049702709457,0.7571290824902757,0.07636441557363728
0.019,0.11295115881323603,0.8754749603713502,0.0988859112859159
0.022,0.12322599707733253,0.9870762824337347,0.12163345909428365
0.025,0.13180554801445984,1.0923545834160975,0.14397839449326572
0.028,0.13880381734970665,1.191467938845439,0.16538029816153377
0.031,0.14432863638649715,1.284679807933427,0.18541608487229858
0.034,0.14848199225124992,1.3723590335763958,0.2037706033894232
0.037,0.1513603368137277,1.4546109994590124,0.22017041081106922
0.04,0.1530548770276668,1.5318045484776117,0.2344501567976615
0.043,0.15365184857687095,1.604045064316861,0.24646448933289153
0.046,0.15323277424410567,1.671596006188427,0.2561432934436199
0.049,0.1518747081429606,1.7346681414616443,0.26345221770937916
0.052,0.1496504667753913,1.7934195456635131,0.2683860721326549
0.055,0.14662884775567372,1.8480609861633683,0.2709790529833488
0.058,0.1428748369521763,1.898803230330543,0.271291201937742
0.061,0.1384498047292607,1.9458043536920386,0.2693962328100081
0.064,0.13341169191571436,1.9891697399325212,0.2653785005119392
0.067,0.127815186079206,2.0291628482636592,0.25935782703583127
0.07,0.12171188864577696,2.0658363705277853,0.25143684629007385
0.073,0.11515047336769259,2.0993483822519012,0.24174095998000608
0.076,0.10817683661100082,2.1299096508053394,0.23040688829136302
0.079,0.10083423990514606,2.1576255598727685,0.21756253332968584
0.082,0.09316344517044362,2.182548801296521,0.20333376558140587
0.085,0.08520284301476412,2.2048901424459313,0.1878629086716216
0.088,0.07698857446812232,2.2247549670056666,0.17128071345064078
0.091,0.06855464650279733,2.24219596681806,0.15371295189521
0.094,0.05993304166696061,2.257371217410112,0.13529112323083786
0.097,0.05115382214141261,2.27038610246649,0.11613892687790583
0.1,0.04224522851181692,2.2813460056718613,0.09637598332412856
0.103,0.03323377353267221,2.290303618868559,0.0761154317905373
